Sno,migrantRemittanceInflows,2013,2014,2015,2016
203,United States,6613.0,6503.0,6561.999872,6546.999808
40,China,59491.287194,62332.342308,63937.646592,60999.999488
95,Japan,2363.8533979,3733.9125417,3325.097824,3818.90888
71,Germany,16343.359193891001,17364.690462119997,16132.500916,16683.1835255
202,United Kingdom,4804.502413,4932.330424,5003.393536,4564.740992
86,India,69970.360847,70388.642796,68909.691648,62744.364288
66,France,24406.3335126,25351.1571466,23765.700608,24373.082432
93,Italy,9327.57031,10086.692302,9517.018368,9712.828672
34,Canada,1336.975325,1308.71835,1323.335296,1343.332992
157,Russian Federation,6750.81,7776.54,6903.389952,6678.01984
26,Brazil,2717.6750687,2647.9085128,2896.909952,2739.786624
10,Australia,2460.025874,2258.340296,2141.153792,2050.854272
175,Spain,10648.330986,10724.226775,10280.940544,10280.787456
125,Mexico,23432.844108,24802.081325,26233.172352,28670.114304
87,Indonesia,7614.4193398,8551.1644685,9659.169024,8976.778128
136,Netherlands,1618.6666307,1540.6830195,1364.873648,1413.425072
162,Saudi Arabia,268.7733333,273.304,295.4344,307.548544
195,Turkey,1901.0,1739.0,1395.0,1186.0
185,Switzerland,2437.906824,2412.900192,2553.299712,2493.570304
152,Poland,7400.0,7409.0,6782.999808,6712.0
184,Sweden,4466.068101100001,4558.124525300001,3363.518912,2854.533568
18,Belgium,11234.1489987,11502.1336121,9789.574264,9867.25428
189,Thailand,5689.777048,6524.13,5894.680064,6272.839936
90,Ireland,723.850488931,719.2768794,601.15904,594.067904
