Sno,migrantRemittanceInflows,2013,2014,2015,2016
202,United Kingdom,10528.125662,11569.365231,10705.712384,10060.358912
203,United States,55669.0,58754.0,62500.999168,66648.999936
40,China,1714.202599,4155.302052,20421.778432,20285.995008
95,Japan,2872.3305594000003,4214.7617586,4000.341456,5064.714688
71,Germany,19948.853233,21280.305306,19170.05696,20680.751616
86,India,6431.771262,6221.785952,4882.83264,5622.66112
66,France,13425.170365,13716.675172,12441.098112,12527.647616
93,Italy,11629.332093,11132.583951,9442.566912,9376.753152
34,Canada,5704.383062,5685.066422,4867.037696,4738.534784
157,Russian Federation,37216.68,32640.36,19688.839168,16590.339584
26,Brazil,1150.1890088399998,1538.7758977,1339.086904,1385.076056
10,Australia,6966.095311,6646.922776,6013.698752,6376.759104
175,Spain,333.54201689999996,373.4056355,348.98016,287.521792
125,Mexico,866.997321,1001.831236,810.619136,653.83456
87,Indonesia,3951.108964,4119.081644,4605.139584,5150.59392
136,Netherlands,9686.145572,9934.465186,8616.247552,8926.301952
162,Saudi Arabia,34984.186667,36924.24,38787.367232,38884.707904
195,Turkey,689.0,815.0,850.0,1128.999936
185,Switzerland,23190.690079,24511.359045,24381.734912,24957.98272
152,Poland,1557.0,2163.0,2556.999872,3716.000064
184,Sweden,1623.3895502999999,1583.6452321,1241.876352,1168.37776
18,Belgium,4488.2879701,4507.7297275,3791.32448,3857.847936
189,Thailand,3288.97,3620.44,3992.36992,4132.039936
90,Ireland,1957.7198002999999,1959.5085914000001,1562.919936,1541.417472
